Lab,Num,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,TM-score,best sol.,Detail
Chen,1,3.262,3.537,0.922,0.923,0.816,0.926,1.970,0.00e+00,16.51,0.7640,2,->
Bujnicki,1,3.994,4.455,0.896,0.923,0.707,0.893,20.410,0.00e+00,18.35,0.7030,2,->
Santalucia,1,4.023,4.644,0.866,0.923,0.707,0.852,33.920,0.00e+00,19.96,0.7060,2,->
Major,1,4.331,4.896,0.885,0.913,0.707,0.881,0.490,0.00e+00,24.39,0.7430,2,->
Das,1,4.498,4.969,0.905,0.968,1.000,0.875,8.620,0.00e+00,15.71,0.7480,1,->
Adamiak,1,4.705,5.723,0.822,0.868,1.000,0.801,17.220,0.00e+00,24.71,0.6100,2,->
Dokholyan,1,5.139,5.789,0.888,0.923,0.816,0.878,13.520,0.00e+00,17.73,0.7210,2,->
Mikolajczak,1,12.801,17.915,0.715,0.658,0.408,0.749,29.290,0.00e+00,23.45,0.6240,1,->
Chen,2,3.257,3.518,0.926,0.923,0.707,0.935,2.220,0.00e+00,15.81,0.7650,2,->
Bujnicki,2,3.997,4.506,0.887,0.923,0.707,0.880,24.340,0.00e+00,18.40,0.7030,2,->
Adamiak,2,4.222,5.049,0.836,0.882,0.500,0.826,19.920,0.00e+00,23.02,0.6280,2,->
Das,2,4.499,4.953,0.908,0.968,1.000,0.879,8.860,0.00e+00,15.72,0.7480,1,->
Dokholyan,2,5.139,5.789,0.888,0.923,0.816,0.878,13.520,0.00e+00,17.73,0.7210,2,->
Chen,3,3.282,3.511,0.935,0.923,1.000,0.940,2.220,0.00e+00,15.94,0.7610,2,->
Bujnicki,3,4.002,4.479,0.894,0.923,0.816,0.885,21.640,0.00e+00,18.45,0.7020,2,->
Adamiak,3,4.091,4.957,0.825,0.882,0.000,0.821,18.690,0.00e+00,23.01,0.6630,2,->
Das,3,4.499,4.953,0.908,0.968,1.000,0.879,8.860,0.00e+00,15.71,0.7480,1,->
Chen,4,3.281,3.521,0.932,0.923,0.816,0.940,3.450,0.00e+00,15.67,0.7610,2,->
Bujnicki,4,3.997,4.506,0.887,0.923,0.707,0.880,25.080,0.00e+00,18.40,0.7030,2,->
Das,4,4.499,4.953,0.908,0.968,1.000,0.879,8.860,0.00e+00,15.71,0.7480,1,->
Adamiak,4,6.339,9.615,0.659,0.460,0.707,0.723,70.830,0.00e+00,33.60,0.5310,2,->
Chen,5,3.279,3.523,0.931,0.923,1.000,0.934,2.720,0.00e+00,15.88,0.7620,2,->
Bujnicki,5,3.994,4.459,0.896,0.923,0.816,0.888,20.410,0.00e+00,18.62,0.7040,2,->
Adamiak,5,4.405,7.102,0.620,0.456,0.000,0.682,69.110,0.00e+00,32.47,0.6210,2,->
Das,5,4.499,4.953,0.908,0.968,1.000,0.879,8.860,0.00e+00,15.72,0.7480,1,->
Chen,6,3.283,3.527,0.931,0.923,1.000,0.934,2.220,0.00e+00,15.95,0.7610,2,->
Chen,7,3.275,3.542,0.925,0.923,1.000,0.925,3.210,0.00e+00,15.84,0.7640,2,->
Chen,8,3.269,3.484,0.938,0.923,1.000,0.944,3.460,0.00e+00,15.93,0.7630,2,->
Chen,9,3.259,3.513,0.928,0.923,0.816,0.934,1.980,0.00e+00,15.69,0.7630,2,->
Chen,10,3.264,3.516,0.928,0.923,0.816,0.935,1.970,0.00e+00,15.91,0.7660,2,->
