Lab,Num,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,TM-score,best sol.,Detail
Szachniuk,1,8.394,14.387,0.583,0.846,0.000,0.531,13.450,1.32e-11,31.24,0.2020,1,->
SimRNA,1,9.916,15.233,0.651,0.889,-,0.606,119.660,2.94e-09,31.36,0.2770,1,->
RNAComposer,1,10.163,16.455,0.618,0.836,-,0.568,8.410,6.63e-09,31.81,0.2330,1,->
Chen,1,11.112,17.321,0.642,0.881,0.000,0.607,0.560,1.26e-07,26.34,0.2920,1,->
SoutheRNA,1,11.503,17.325,0.664,0.964,0.000,0.606,180.740,3.94e-07,30.34,0.2520,1,->
DasFARFAR2Holo,1,11.633,18.171,0.640,0.923,0.000,0.593,2.240,5.68e-07,27.21,0.1930,1,->
DasFARFAR2NNHolo,1,12.580,22.368,0.562,0.881,0.000,0.505,8.410,7.13e-06,26.70,0.1880,1,->
Bujnicki,1,12.908,18.917,0.682,0.901,0.000,0.655,182.170,1.61e-05,28.74,0.1870,1,->
DasFARFAR2Apo,1,12.973,19.863,0.653,0.889,0.000,0.626,3.360,1.88e-05,30.36,0.2240,1,->
DasFARFAR2NNApo,1,13.955,21.692,0.643,0.881,-,0.606,4.480,1.74e-04,27.79,0.2470,1,->
YangServer,1,14.413,25.888,0.557,0.679,0.000,0.580,30.830,4.47e-04,43.29,0.1910,1,->
DasARESApo,1,14.440,23.409,0.617,0.815,0.000,0.593,5.610,4.71e-04,24.78,0.1910,1,->
Ding,1,15.253,28.238,0.540,0.846,-,0.433,9.530,2.15e-03,32.64,0.1730,1,->
Dokholyan,1,15.615,28.048,0.557,0.669,-,0.552,1.140,3.98e-03,29.91,0.2100,1,->
Xiao,1,18.089,48.494,0.373,0.277,-,0.433,22.420,1.00e-01,37.23,0.1710,1,->
Dfold,1,20.279,44.655,0.454,0.222,-,0.566,145.740,4.75e-01,29.57,0.1770,1,->
Szachniuk,2,8.504,14.111,0.603,0.881,0.000,0.559,9.650,1.99e-11,27.49,0.2400,1,->
YangServer,2,9.231,18.846,0.490,0.629,-,0.488,17.940,2.81e-10,27.70,0.1950,1,->
Chen,2,9.463,14.784,0.640,0.881,0.000,0.602,3.360,6.33e-10,29.75,0.4170,1,->
SimRNA,2,10.988,18.733,0.587,0.846,0.000,0.539,142.700,8.73e-08,27.09,0.2780,1,->
DasARESApo,2,13.131,19.941,0.658,0.923,-,0.612,6.730,2.74e-05,29.91,0.1910,1,->
DasFARFAR2NNApo,2,13.410,23.832,0.563,0.889,0.000,0.500,5.610,5.25e-05,28.50,0.2100,1,->
Ding,2,13.649,22.010,0.620,0.788,-,0.589,11.770,8.97e-05,31.09,0.2290,1,->
Bujnicki,2,13.754,21.832,0.630,0.788,-,0.607,128.780,1.13e-04,29.25,0.1770,1,->
DasFARFAR2Apo,2,13.888,24.113,0.576,0.889,0.000,0.516,3.360,1.51e-04,27.45,0.1910,1,->
RNAComposer,2,14.989,25.492,0.588,0.789,-,0.541,10.650,1.34e-03,36.41,0.1760,1,->
SoutheRNA,2,16.601,37.128,0.447,0.231,-,0.552,124.650,1.76e-02,30.79,0.2390,1,->
Xiao,2,19.748,43.078,0.458,0.277,-,0.545,1.680,3.60e-01,30.64,0.1670,1,->
Dfold,2,21.296,59.236,0.360,0.000,-,0.512,150.140,6.92e-01,30.30,0.1910,1,->
Chen,3,7.978,12.777,0.624,0.881,0.000,0.593,0.000,2.66e-12,30.61,0.2830,1,->
Szachniuk,3,9.436,15.447,0.611,0.846,0.000,0.572,8.410,5.75e-10,31.73,0.2190,1,->
SimRNA,3,10.571,16.376,0.645,0.763,-,0.640,186.100,2.43e-08,29.27,0.2730,1,->
DasFARFAR2Apo,3,12.314,19.548,0.630,0.859,-,0.587,3.920,3.60e-06,25.21,0.2150,1,->
YangServer,3,12.574,33.853,0.371,0.392,-,0.405,33.070,7.01e-06,46.46,0.2610,1,->
DasFARFAR2NNApo,3,12.623,20.291,0.622,0.889,-,0.559,8.970,7.93e-06,29.79,0.2410,1,->
Ding,3,13.040,22.480,0.580,0.846,-,0.501,7.850,2.21e-05,33.47,0.1710,1,->
SoutheRNA,3,13.073,19.526,0.670,0.901,0.000,0.627,184.830,2.39e-05,25.52,0.2620,1,->
DasARESApo,3,13.272,20.447,0.649,0.846,-,0.620,6.730,3.81e-05,27.23,0.1810,1,->
Bujnicki,3,13.628,21.541,0.633,0.859,0.000,0.585,103.760,8.57e-05,30.94,0.2210,1,->
RNAComposer,3,14.544,26.705,0.545,0.789,-,0.492,20.180,5.79e-04,28.90,0.1480,1,->
Xiao,3,18.316,44.481,0.412,0.277,-,0.484,6.170,1.24e-01,36.57,0.1560,1,->
