,length,error
0,87.0,0.5735683441162109
1,87.0,3.026823043823242
2,87.0,2.22039794921875
3,87.0,6.297002792358398
4,87.0,2.3464832305908203
5,87.0,7.88306999206543
6,87.0,0.950218677520752
7,87.0,0.05071115493774414
8,87.0,1.0875396728515625
9,87.0,0.5988845825195312
10,87.0,4.242292404174805
11,87.0,2.428304672241211
12,87.0,3.9604759216308594
13,87.0,0.8957748413085938
14,87.0,2.3396222591400146
15,87.0,2.888157844543457
16,87.0,0.14263534545898438
17,87.0,0.12250328063964844
18,87.0,0.7575180530548096
19,87.0,0.34225034713745117
20,87.0,3.5983123779296875
21,87.0,3.220623016357422
22,87.0,5.094638824462891
23,87.0,9.647602081298828
24,87.0,3.6170787811279297
25,87.0,4.054208755493164
26,107.0,2.696714401245117
27,107.0,8.860136985778809
28,107.0,0.4961071014404297
29,107.0,8.239736557006836
30,107.0,4.024053573608398
31,107.0,0.38699913024902344
32,107.0,1.084364414215088
33,107.0,0.6680698394775391
34,107.0,8.56788444519043
35,107.0,3.008016586303711
36,107.0,1.7657833099365234
37,107.0,0.9809844493865967
38,107.0,5.820335388183594
39,107.0,2.5940184593200684
40,107.0,0.30794811248779297
41,107.0,2.7717247009277344
42,107.0,8.928352355957031
43,107.0,5.811037063598633
44,107.0,5.056447982788086
45,107.0,0.3085644245147705
46,107.0,2.4496498107910156
47,107.0,2.8214340209960938
48,107.0,9.950939178466797
49,107.0,8.653797149658203
50,62.0,7.235126495361328
51,62.0,13.654016494750977
52,62.0,4.093355178833008
53,62.0,3.1468448638916016
54,62.0,4.106901168823242
55,62.0,3.125579833984375
56,62.0,3.544973373413086
57,62.0,4.212804794311523
58,62.0,1.0783309936523438
59,62.0,0.957305908203125
60,62.0,3.561685562133789
61,62.0,7.176923751831055
62,62.0,3.1136932373046875
63,62.0,2.8641090393066406
64,62.0,1.7301158905029297
65,62.0,0.8344993591308594
66,62.0,2.6914119720458984
67,62.0,8.268144607543945
68,62.0,1.3736381530761719
69,62.0,2.2909955978393555
70,62.0,3.0856056213378906
71,62.0,0.9300193786621094
72,62.0,5.531976699829102
73,62.0,8.096811294555664
74,62.0,5.52326774597168
75,89.0,1.2274417877197266
76,89.0,2.791492462158203
77,90.0,2.6607742309570312
78,89.0,4.781641006469727
79,89.0,4.7942657470703125
80,90.0,0.2549877166748047
81,90.0,5.957419395446777
82,89.0,1.4579963684082031
83,90.0,5.783674240112305
84,89.0,6.193193435668945
85,89.0,1.216165542602539
86,90.0,5.464939117431641
87,90.0,5.367952346801758
88,89.0,5.863071441650391
89,90.0,5.099828720092773
90,89.0,5.270198822021484
91,89.0,2.125978469848633
92,90.0,5.879598617553711
93,90.0,2.161844253540039
94,89.0,2.64703369140625
95,90.0,1.8350772857666016
96,89.0,0.8724727630615234
97,90.0,0.08726882934570312
98,90.0,2.418886184692383
99,89.0,1.8541488647460938
100,90.0,2.6278953552246094
101,90.0,0.01883697509765625
102,90.0,6.479410171508789
103,89.0,6.467485427856445
104,90.0,4.827913284301758
105,89.0,2.6711816787719727
106,89.0,1.3558311462402344
107,89.0,1.0044746398925781
108,89.0,3.839752197265625
109,90.0,1.2340621948242188
110,90.0,1.4800453186035156
111,90.0,12.445735931396484
112,90.0,0.05773162841796875
113,90.0,6.306127548217773
114,89.0,2.3162059783935547
115,90.0,5.268949508666992
116,90.0,6.140645980834961
117,89.0,1.3681488037109375
118,90.0,5.067317962646484
119,89.0,1.7874755859375
120,90.0,3.888382911682129
121,90.0,1.9651641845703125
122,89.0,4.368009567260742
123,89.0,4.888978958129883
124,89.0,2.3166561126708984
125,89.0,1.8347091674804688
126,89.0,2.0180835723876953
127,19.0,1.1367347240447998
128,19.0,1.2782111167907715
129,19.0,1.8495049476623535
130,19.0,0.26194190979003906
131,19.0,1.3462090492248535
132,19.0,1.5217480659484863
133,19.0,0.9293320178985596
134,19.0,1.3513126373291016
135,19.0,1.417283535003662
136,19.0,1.2195086479187012
137,19.0,1.5071206092834473
138,19.0,1.1320106983184814
139,19.0,0.8497638702392578
140,19.0,1.345045566558838
141,19.0,1.4610011577606201
142,19.0,0.26883554458618164
143,19.0,1.2706413269042969
144,19.0,1.4555420875549316
145,19.0,0.6045606136322021
146,21.0,1.0258398056030273
147,21.0,1.0654466152191162
148,21.0,0.491288423538208
149,21.0,0.4903440475463867
150,21.0,0.5085172653198242
151,21.0,0.5418312549591064
152,21.0,0.5846827030181885
153,21.0,0.671104907989502
154,21.0,0.12526535987854004
155,21.0,0.35131335258483887
156,21.0,0.8360805511474609
157,21.0,0.1836986541748047
158,21.0,0.10176205635070801
159,21.0,0.10764598846435547
160,21.0,0.5350189208984375
161,21.0,0.013587713241577148
162,21.0,0.00337982177734375
163,21.0,0.7364294528961182
164,21.0,0.44520998001098633
165,21.0,0.07075929641723633
166,21.0,0.4148592948913574
167,21.0,0.3849916458129883
168,17.0,0.5972166061401367
169,17.0,0.473712682723999
170,17.0,0.4871509075164795
171,17.0,0.20965194702148438
172,17.0,0.5768864154815674
173,17.0,0.7769825458526611
174,17.0,0.061705589294433594
175,17.0,0.5096516609191895
176,17.0,0.24146485328674316
177,17.0,0.10922765731811523
178,17.0,0.6759185791015625
179,17.0,0.43558311462402344
180,17.0,0.3865342140197754
181,17.0,0.7432217597961426
182,17.0,0.09152746200561523
183,17.0,0.9503259658813477
184,17.0,0.037578582763671875
185,17.0,0.828667163848877
186,17.0,0.8095242977142334
187,17.0,1.135819435119629
188,17.0,0.2595083713531494
189,17.0,0.24564337730407715
190,17.0,0.4581477642059326
191,136.0,0.5589466094970703
192,136.0,6.178131103515625
193,136.0,6.452768325805664
194,136.0,16.548391342163086
195,136.0,4.787065029144287
196,136.0,11.432156562805176
197,136.0,1.9625587463378906
198,136.0,4.944020748138428
199,136.0,4.34129524230957
200,136.0,10.095508575439453
201,136.0,11.288926124572754
202,136.0,1.973459243774414
203,136.0,2.7653980255126953
204,136.0,1.6359238624572754
205,136.0,11.306982040405273
206,136.0,9.759004592895508
207,136.0,8.173046112060547
208,136.0,5.9613494873046875
209,136.0,12.492929458618164
210,136.0,11.7093505859375
211,136.0,7.238370895385742
212,136.0,13.28110408782959
213,136.0,21.390878677368164
214,136.0,2.5336499214172363
215,136.0,2.5455455780029297
216,136.0,1.9546566009521484
217,136.0,0.024151325225830078
218,136.0,20.39525604248047
219,19.0,2.202826976776123
220,19.0,0.06115531921386719
221,19.0,1.1942167282104492
222,19.0,0.22235798835754395
223,19.0,0.7407445907592773
224,19.0,0.017073392868041992
225,19.0,0.404752254486084
226,19.0,1.0706431865692139
227,19.0,1.2807331085205078
228,19.0,1.9934453964233398
229,19.0,0.17389202117919922
230,19.0,2.2063465118408203
231,19.0,0.8027570247650146
232,19.0,1.9487862586975098
233,19.0,0.6625542640686035
234,19.0,0.9187085628509521
235,19.0,2.072197675704956
236,19.0,0.6814088821411133
237,19.0,0.8401005268096924
238,19.0,1.0397453308105469
239,19.0,2.0413661003112793
240,35.0,2.2306971549987793
241,35.0,2.262200355529785
242,35.0,2.7762770652770996
243,35.0,2.6707072257995605
244,35.0,3.3949999809265137
245,35.0,4.124855995178223
246,35.0,4.202794075012207
247,35.0,5.037532806396484
248,35.0,1.367661952972412
249,35.0,2.700072765350342
250,35.0,3.2815299034118652
251,35.0,1.155730962753296
252,35.0,3.031506299972534
253,35.0,0.6790778636932373
254,35.0,2.939152956008911
255,35.0,3.0225329399108887
256,35.0,3.040998697280884
257,35.0,3.568598985671997
258,35.0,2.8764283657073975
259,35.0,2.2385151386260986
260,35.0,2.4496400356292725
261,35.0,2.1101415157318115
262,16.0,3.8817391395568848
263,16.0,0.5429215431213379
264,16.0,0.8917202949523926
265,16.0,1.2878503799438477
266,16.0,0.21854162216186523
267,16.0,0.3610527515411377
268,16.0,0.355088472366333
269,16.0,0.11750984191894531
270,16.0,1.2719650268554688
271,16.0,0.46570873260498047
272,16.0,2.170492172241211
273,16.0,0.651146650314331
274,16.0,0.17378664016723633
275,16.0,1.2829704284667969
276,16.0,2.2204389572143555
277,16.0,0.526799201965332
278,16.0,0.6972794532775879
279,16.0,0.6125016212463379
280,16.0,0.562248706817627
281,16.0,0.8371517658233643
282,16.0,1.3649680614471436
283,16.0,1.1259856224060059
284,16.0,0.8041419982910156
285,16.0,0.380615234375
286,96.0,1.6952400207519531
287,96.0,4.063215255737305
288,96.0,0.07100296020507812
289,96.0,0.11756515502929688
290,96.0,5.064949035644531
291,96.0,0.2619342803955078
292,96.0,0.01969146728515625
293,96.0,0.4575042724609375
294,96.0,4.331748962402344
295,96.0,1.7312259674072266
296,96.0,0.6298866271972656
297,96.0,9.004732131958008
298,96.0,12.254364967346191
299,96.0,6.471376419067383
300,96.0,3.6601505279541016
301,96.0,0.22759056091308594
302,96.0,3.851408004760742
303,96.0,0.2846221923828125
304,96.0,0.41692543029785156
305,96.0,0.023712158203125
306,96.0,0.9817104339599609
307,96.0,0.1292438507080078
308,96.0,0.7784690856933594
309,96.0,8.938657760620117
310,96.0,1.5596809387207031
311,96.0,1.3143863677978516
312,96.0,0.5408592224121094
313,70.0,3.760653495788574
314,70.0,2.5768423080444336
315,70.0,2.4467945098876953
316,70.0,1.3550186157226562
317,70.0,6.099435806274414
318,70.0,0.8779287338256836
319,70.0,0.4654092788696289
320,70.0,0.7970428466796875
321,70.0,8.646706581115723
322,70.0,3.3115434646606445
323,70.0,0.8150224685668945
324,70.0,0.9161005020141602
325,70.0,0.44225215911865234
326,70.0,3.058321952819824
327,70.0,3.0747451782226562
328,70.0,2.447272300720215
329,70.0,4.933463096618652
330,70.0,1.6252765655517578
331,70.0,1.5006885528564453
332,70.0,1.8777294158935547
333,70.0,1.162735939025879
334,70.0,1.4396982192993164
335,70.0,2.0672836303710938
336,23.0,9.920130729675293
337,23.0,4.947404861450195
338,23.0,7.440997123718262
339,23.0,7.463825225830078
340,23.0,7.392802715301514
341,23.0,9.050589561462402
342,23.0,7.67000150680542
343,23.0,11.134481430053711
344,23.0,7.956153392791748
345,23.0,7.966280937194824
346,23.0,5.06552791595459
347,23.0,9.740124702453613
348,23.0,8.545088768005371
349,23.0,5.457147598266602
350,23.0,7.053380966186523
351,23.0,9.351428985595703
352,23.0,7.318553447723389
353,23.0,6.713802337646484
354,23.0,6.702314376831055
355,23.0,6.716413974761963
356,23.0,7.968577861785889
357,23.0,3.7970101833343506
358,34.0,2.5539751052856445
359,34.0,1.1775860786437988
360,34.0,0.6477899551391602
361,34.0,3.9056010246276855
362,34.0,1.7431740760803223
363,34.0,0.04025077819824219
364,34.0,1.347752571105957
365,34.0,4.167675495147705
366,34.0,0.8218345642089844
367,34.0,0.017398834228515625
368,34.0,1.0612993240356445
369,34.0,0.9433102607727051
370,34.0,2.7462244033813477
371,34.0,1.6210074424743652
372,34.0,3.9396605491638184
373,34.0,1.8311338424682617
374,34.0,0.4494457244873047
375,34.0,0.6243467330932617
376,34.0,3.880807399749756
377,34.0,0.4366006851196289
378,34.0,1.3849940299987793
379,34.0,2.126802921295166
380,34.0,2.8492369651794434
381,34.0,5.619658470153809
382,71.0,1.1454734802246094
383,71.0,6.524481773376465
384,71.0,5.017910003662109
385,71.0,4.362342834472656
386,71.0,1.893594741821289
387,71.0,4.536922454833984
388,71.0,8.807039260864258
389,71.0,9.278827667236328
390,71.0,4.281980514526367
391,71.0,5.121183395385742
392,71.0,6.705410003662109
393,71.0,8.69182014465332
394,71.0,5.158021926879883
395,71.0,2.0389156341552734
396,71.0,4.402919769287109
397,71.0,7.471941947937012
398,71.0,5.489696502685547
399,71.0,2.194873571395874
400,71.0,5.044059753417969
401,71.0,2.680753707885742
402,71.0,2.9078903198242188
403,71.0,8.037015914916992
404,71.0,5.715620040893555
405,30.0,0.6337203979492188
406,30.0,6.778561592102051
407,30.0,2.1451072692871094
408,30.0,2.4904184341430664
409,30.0,6.266571998596191
410,30.0,2.3018152713775635
411,30.0,1.3601763248443604
412,30.0,1.6405811309814453
413,30.0,1.1829414367675781
414,30.0,1.8284244537353516
415,30.0,5.426084518432617
416,30.0,2.675154685974121
417,30.0,4.685132026672363
418,30.0,0.12862205505371094
419,30.0,2.0519888401031494
420,30.0,2.080756187438965
421,30.0,1.9888877868652344
422,30.0,7.253931045532227
423,30.0,1.025120735168457
424,30.0,7.15793514251709
425,30.0,1.4406852722167969
426,30.0,1.3441917896270752
427,22.0,0.5796537399291992
428,22.0,1.419623851776123
429,22.0,3.128249168395996
430,22.0,0.9200553894042969
431,22.0,0.9681265354156494
432,22.0,0.018060684204101562
433,22.0,1.1744422912597656
434,22.0,0.07787322998046875
435,22.0,2.189419746398926
436,22.0,0.5384187698364258
437,22.0,2.186464309692383
438,22.0,0.10318756103515625
439,22.0,0.3528785705566406
440,22.0,1.4172782897949219
441,22.0,1.0696454048156738
442,22.0,0.36464500427246094
443,22.0,2.1447525024414062
444,22.0,2.422966957092285
445,22.0,1.2662887573242188
446,22.0,0.4701690673828125
447,22.0,0.2566709518432617
448,22.0,1.5808296203613281
449,22.0,1.1317691802978516
450,22.0,1.557234287261963
451,22.0,1.441218614578247
452,72.0,0.38345813751220703
453,72.0,0.20478439331054688
454,72.0,1.9559593200683594
455,72.0,2.7828502655029297
456,72.0,0.9875011444091797
457,72.0,1.52048659324646
458,72.0,1.5113649368286133
459,72.0,0.22274184226989746
460,72.0,0.8465225696563721
461,72.0,2.01939058303833
462,72.0,0.5229387283325195
463,72.0,0.8426513671875
464,72.0,0.17843103408813477
465,72.0,1.9555563926696777
466,72.0,0.2647738456726074
467,72.0,0.2574729919433594
468,72.0,1.775418758392334
469,72.0,0.36092090606689453
470,72.0,2.3522753715515137
471,72.0,0.20098662376403809
472,72.0,1.8182041645050049
473,72.0,1.418677568435669
474,72.0,0.899200439453125
475,72.0,0.07622146606445312
476,72.0,1.129106044769287
477,72.0,1.000309705734253
478,44.0,4.564130783081055
479,44.0,6.452387809753418
480,44.0,0.6697483062744141
481,44.0,1.5879936218261719
482,44.0,4.288405418395996
483,44.0,3.920602798461914
484,44.0,3.198122978210449
485,44.0,2.370781898498535
486,44.0,3.4409799575805664
487,44.0,4.597367286682129
488,44.0,0.6375608444213867
489,44.0,3.0089111328125
490,44.0,8.367602348327637
491,44.0,2.4205331802368164
492,44.0,0.45047760009765625
493,44.0,2.081435203552246
494,44.0,2.1524744033813477
495,44.0,3.192981719970703
496,44.0,4.1058454513549805
497,44.0,1.4254074096679688
498,44.0,3.6552276611328125
499,44.0,0.9553203582763672
500,44.0,3.3954782485961914
501,44.0,4.241944313049316
502,44.0,5.08316707611084
503,44.0,3.59810733795166
504,47.0,1.7232251167297363
505,47.0,0.6892895698547363
506,47.0,1.5327324867248535
507,47.0,1.7707586288452148
508,47.0,0.960479736328125
509,47.0,2.117281675338745
510,47.0,0.9849753379821777
511,47.0,0.6608779430389404
512,47.0,1.253446340560913
513,47.0,0.35588598251342773
514,47.0,0.7333254814147949
515,47.0,0.45999765396118164
516,47.0,2.9288015365600586
517,47.0,1.3029673099517822
518,47.0,0.25124025344848633
519,47.0,0.4557974338531494
520,47.0,0.6186017990112305
521,47.0,1.4734089374542236
522,47.0,0.4127473831176758
523,47.0,0.7126979827880859
524,47.0,0.5551466941833496
525,47.0,1.8206090927124023
526,47.0,0.5585136413574219
527,47.0,0.4464144706726074
528,47.0,1.405726432800293
529,47.0,3.182563304901123
530,47.0,0.21416950225830078
531,69.0,5.22813606262207
532,69.0,8.882495880126953
533,69.0,0.9170856475830078
534,69.0,5.803501129150391
535,69.0,3.884075164794922
536,69.0,6.855382442474365
537,69.0,4.102424621582031
538,69.0,2.724262237548828
539,69.0,4.792255401611328
540,69.0,5.140632629394531
541,69.0,7.861271858215332
542,69.0,0.20647811889648438
543,69.0,2.5385780334472656
544,69.0,4.584827423095703
545,69.0,3.6532154083251953
546,69.0,4.676519393920898
547,69.0,0.47588157653808594
548,69.0,1.6630573272705078
549,69.0,6.039943695068359
550,69.0,0.3865489959716797
551,69.0,4.259826183319092
552,69.0,9.533208847045898
553,69.0,4.273859024047852
554,69.0,1.4003314971923828
555,69.0,2.4845924377441406
556,69.0,1.4514713287353516
557,61.0,5.494590759277344
558,61.0,4.207813262939453
559,61.0,7.930621147155762
560,61.0,2.9868202209472656
561,61.0,0.2960071563720703
562,61.0,3.399709701538086
563,61.0,3.9014739990234375
564,61.0,2.1959285736083984
565,61.0,4.295144081115723
566,61.0,3.4228076934814453
567,61.0,7.406036376953125
568,61.0,2.866689682006836
569,61.0,4.079160690307617
570,61.0,6.292226791381836
571,61.0,3.8428897857666016
572,61.0,1.1930980682373047
573,61.0,8.76980972290039
574,61.0,1.6478080749511719
575,61.0,4.879859924316406
576,61.0,6.336793899536133
577,61.0,4.589973449707031
578,61.0,7.72773551940918
579,61.0,7.383451461791992
580,61.0,5.255661964416504
581,61.0,4.811439514160156
