id,original_ARES_pred,lociparse_ARES_pred,original_LOCIPARSE_pred_lDDT,lociparse_LOCIPARSE_pred_lDDT,lociparse_trained_RNAQuANet_pred,original_trained_RNAQuANet_less_features_pred,lociparse_trained_RNAQuANet_contrastive_pred,lociparse_trained_RNAQuANet_contrastive_learned_less_features_pred,lociparse_trained_RNAQuANet_less_features_pred,RMSD,length,Lab,PZ,original_LOCIPARSE_pred_lDDT_rev,lociparse_LOCIPARSE_pred_lDDT_rev
PZ14Bound_AdamiakPostExp_1.pdb,8.4939117,2.4728205,0.77,0.77,3.675055742263794,8.308708190917969,3.1469738483428955,2.733550548553467,2.371241331100464,15.081297874450684,61,AdamiakPostExp,14Bound,0.2299999999999999,0.2299999999999999
PZ14Bound_AdamiakPostExp_2.pdb,8.6636467,4.2244248,0.7,0.67,3.8136610984802246,14.53530216217041,5.739440441131592,6.116040229797363,3.034123659133911,14.502469062805176,61,AdamiakPostExp,14Bound,0.3,0.3299999999999999
PZ14Bound_AdamiakPreExp_1.pdb,8.3152628,2.4966087,0.75,0.77,3.478959798812866,14.6559476852417,2.340059995651245,2.673102140426636,2.8264639377593994,15.993490219116213,61,AdamiakPreExp,14Bound,0.25,0.2299999999999999
PZ14Bound_AdamiakPreExp_2.pdb,8.4683609,2.3821971,0.73,0.75,3.159635543823242,11.993363380432127,2.1869356632232666,2.182194709777832,2.923744440078736,16.166616439819336,61,AdamiakPreExp,14Bound,0.27,0.25
PZ14Bound_BujnickiPostExp_1.pdb,8.5579128,5.5326967,0.66,0.69,6.996189117431641,13.451545715332031,3.677321672439575,2.824742317199707,1.8515517711639404,13.930126190185549,61,BujnickiPostExp,14Bound,0.3399999999999999,0.31
PZ14Bound_BujnickiPostExp_2.pdb,7.4920616,8.4764843,0.61,0.61,11.325258255004885,12.041976928710938,6.5441436767578125,3.0229032039642334,2.2395076751708984,13.854562759399414,61,BujnickiPostExp,14Bound,0.39,0.39
PZ14Bound_BujnickiPostExp_3.pdb,9.2955379,3.8467774,0.64,0.64,2.772254705429077,13.26201343536377,2.2269110679626465,2.821662425994873,1.7704850435256958,16.10840606689453,61,BujnickiPostExp,14Bound,0.36,0.36
PZ14Bound_BujnickiPostExp_4.pdb,7.8136101,4.6432695,0.64,0.62,4.492071151733398,14.780646324157717,4.911649227142334,2.999655246734619,2.395012378692627,12.845233917236328,61,BujnickiPostExp,14Bound,0.36,0.38
PZ14Bound_BujnickiPostExp_5.pdb,7.9943695,5.3543859,0.62,0.6,3.8291866779327393,12.845776557922363,2.616036891937256,3.948578357696533,1.9467593431472776,11.717617988586426,61,BujnickiPostExp,14Bound,0.38,0.4
PZ14Bound_BujnickiPreExp_1.pdb,7.9092669,3.3899269,0.73,0.69,4.032085418701172,14.844766616821287,2.517066240310669,3.579297542572021,1.8313368558883667,5.6717143058776855,61,BujnickiPreExp,14Bound,0.27,0.31
PZ14Bound_BujnickiPreExp_2.pdb,7.9749312,3.7054763,0.75,0.7,4.422573566436768,14.602792739868164,3.280586004257202,3.264911651611328,1.6816892623901367,5.035190105438232,61,BujnickiPreExp,14Bound,0.25,0.3
