length,error,name,PZ,Lab,Num,RMSD,file_path,Name,diff
185,14.286452293395996,PZ7_Bujnicki_2,7,Bujnicki,2.0,60.6064682006836,PZ7/test/PZ7_Bujnicki_2.pdb,PZ7_Bujnicki_2,-46.320015907287605
185,2.909787893295288,PZ7_Ding_10,7,Ding,10.0,36.53789520263672,PZ7/test/PZ7_Ding_10.pdb,PZ7_Ding_10,-33.62810730934143
185,13.043966293334961,PZ7_Bujnicki_1,7,Bujnicki,1.0,42.530757904052734,PZ7/test/PZ7_Bujnicki_1.pdb,PZ7_Bujnicki_1,-29.486791610717773
185,7.81989860534668,PZ7_Dokholyan_2,7,Dokholyan,2.0,36.9278678894043,PZ7/test/PZ7_Dokholyan_2.pdb,PZ7_Dokholyan_2,-29.107969284057617
185,4.056414604187012,PZ7_Ding_2,7,Ding,2.0,32.74875259399414,PZ7/test/PZ7_Ding_2.pdb,PZ7_Ding_2,-28.69233798980713
185,3.7824456691741943,PZ7_Ding_4,7,Ding,4.0,31.95319175720215,PZ7/test/PZ7_Ding_4.pdb,PZ7_Ding_4,-28.170746088027954
82,2.340944766998291,PZ22_Dokholyan_2,22,Dokholyan,2.0,30.13847541809082,PZ22/test/PZ22_Dokholyan_2.pdb,PZ22_Dokholyan_2,-27.79753065109253
185,5.992218971252441,PZ7_Chen_9,7,Chen,9.0,33.37859344482422,PZ7/test/PZ7_Chen_9.pdb,PZ7_Chen_9,-27.386374473571777
69,4.202484130859375,PZ35_Dfold2_2,35,Dfold2,2.0,31.39792823791504,PZ35/test/PZ35_Dfold2_2.pdb,PZ35_Dfold2_2,-27.195444107055664
185,5.254933834075928,PZ7_Ding_3,7,Ding,3.0,31.807558059692383,PZ7/test/PZ7_Ding_3.pdb,PZ7_Ding_3,-26.552624225616455
82,2.844243288040161,PZ22_Dokholyan_1,22,Dokholyan,1.0,28.94064712524414,PZ22/test/PZ22_Dokholyan_1.pdb,PZ22_Dokholyan_1,-26.09640383720398
