length,error,name,PZ,Lab,Num,RMSD,file_path,Name,diff
185,7.077631950378418,PZ7_Bujnicki_2,7,Bujnicki,2.0,60.6064682006836,PZ7/test/PZ7_Bujnicki_2.pdb,PZ7_Bujnicki_2,-53.52883625030518
185,6.992091655731201,PZ7_Bujnicki_1,7,Bujnicki,1.0,42.530757904052734,PZ7/test/PZ7_Bujnicki_1.pdb,PZ7_Bujnicki_1,-35.53866624832153
185,4.365808010101318,PZ7_Dokholyan_2,7,Dokholyan,2.0,36.9278678894043,PZ7/test/PZ7_Dokholyan_2.pdb,PZ7_Dokholyan_2,-32.56205987930298
185,4.968282699584961,PZ7_Ding_10,7,Ding,10.0,36.53789520263672,PZ7/test/PZ7_Ding_10.pdb,PZ7_Ding_10,-31.569612503051758
185,5.585836410522461,PZ7_Chen_2,7,Chen,2.0,34.3694953918457,PZ7/test/PZ7_Chen_2.pdb,PZ7_Chen_2,-28.783658981323242
185,5.297486305236816,PZ7_Chen_9,7,Chen,9.0,33.37859344482422,PZ7/test/PZ7_Chen_9.pdb,PZ7_Chen_9,-28.081107139587402
185,4.791951656341553,PZ7_Ding_2,7,Ding,2.0,32.74875259399414,PZ7/test/PZ7_Ding_2.pdb,PZ7_Ding_2,-27.956800937652588
185,4.653526306152344,PZ7_Ding_4,7,Ding,4.0,31.95319175720215,PZ7/test/PZ7_Ding_4.pdb,PZ7_Ding_4,-27.299665451049805
185,4.3067450523376465,PZ7_Major_10,7,Major,10.0,31.594783782958984,PZ7/test/PZ7_Major_10.pdb,PZ7_Major_10,-27.288038730621338
96,4.052186012268066,PZ8_Dokholyan_4,8,Dokholyan,4.0,31.274169921875,PZ8/test/PZ8_Dokholyan_4.pdb,PZ8_Dokholyan_4,-27.221983909606934
69,4.381369113922119,PZ35_Dfold2_2,35,Dfold2,2.0,31.39792823791504,PZ35/test/PZ35_Dfold2_2.pdb,PZ35_Dfold2_2,-27.01655912399292
61,5.048341751098633,PZ37_Dfold_10,37,Dfold,10.0,31.95611953735352,PZ37/test/PZ37_Dfold_10.pdb,PZ37_Dfold_10,-26.907777786254886
49,2.1117594242095947,PZ32_Chen_7,32,Chen,7.0,28.711061477661133,PZ32/test/PZ32_Chen_7.pdb,PZ32_Chen_7,-26.599302053451538
82,4.119879245758057,PZ22_Dokholyan_2,22,Dokholyan,2.0,30.13847541809082,PZ22/test/PZ22_Dokholyan_2.pdb,PZ22_Dokholyan_2,-26.018596172332764
185,4.191932201385498,PZ7_Dokholyan_1,7,Dokholyan,1.0,30.195444107055664,PZ7/test/PZ7_Dokholyan_1.pdb,PZ7_Dokholyan_1,-26.003511905670166
185,5.85762882232666,PZ7_Ding_3,7,Ding,3.0,31.807558059692383,PZ7/test/PZ7_Ding_3.pdb,PZ7_Ding_3,-25.949929237365723
69,4.322336673736572,PZ35_Dfold2_3,35,Dfold2,3.0,30.18473052978516,PZ35/test/PZ35_Dfold2_3.pdb,PZ35_Dfold2_3,-25.862393856048588
49,2.6438519954681396,PZ32_Dokholyan_2,32,Dokholyan,2.0,28.18501091003418,PZ32/test/PZ32_Dokholyan_2.pdb,PZ32_Dokholyan_2,-25.54115891456604
185,6.026998519897461,PZ7_Chen_10,7,Chen,10.0,31.53738594055176,PZ7/test/PZ7_Chen_10.pdb,PZ7_Chen_10,-25.5103874206543
185,4.872818946838379,PZ7_Ding_7,7,Ding,7.0,29.96412467956543,PZ7/test/PZ7_Ding_7.pdb,PZ7_Ding_7,-25.09130573272705
82,3.9048354625701904,PZ22_Dokholyan_1,22,Dokholyan,1.0,28.94064712524414,PZ22/test/PZ22_Dokholyan_1.pdb,PZ22_Dokholyan_1,-25.03581166267395
185,4.868943214416504,PZ7_Ding_5,7,Ding,5.0,29.76373863220215,PZ7/test/PZ7_Ding_5.pdb,PZ7_Ding_5,-24.894795417785645
185,4.134563446044922,PZ7_Major_1,7,Major,1.0,28.99530601501465,PZ7/test/PZ7_Major_1.pdb,PZ7_Major_1,-24.860742568969727
185,6.207900047302246,PZ7_Adamiak_3,7,Adamiak,3.0,30.73983764648437,PZ7/test/PZ7_Adamiak_3.pdb,PZ7_Adamiak_3,-24.531937599182125
185,5.560867786407471,PZ7_Adamiak_4,7,Adamiak,4.0,30.00903511047364,PZ7/test/PZ7_Adamiak_4.pdb,PZ7_Adamiak_4,-24.44816732406617
185,5.711711883544922,PZ7_Chen_8,7,Chen,8.0,29.92921257019043,PZ7/test/PZ7_Chen_8.pdb,PZ7_Chen_8,-24.217500686645508
185,4.296868801116943,PZ7_Major_5,7,Major,5.0,28.51221466064453,PZ7/test/PZ7_Major_5.pdb,PZ7_Major_5,-24.215345859527588
185,5.11313533782959,PZ7_Ding_6,7,Ding,6.0,29.27437210083008,PZ7/test/PZ7_Ding_6.pdb,PZ7_Ding_6,-24.161236763000492
49,3.29386305809021,PZ32_Bujnicki_5,32,Bujnicki,5.0,27.4315185546875,PZ32/test/PZ32_Bujnicki_5.pdb,PZ32_Bujnicki_5,-24.13765549659729
185,4.022739410400391,PZ7_Major_2,7,Major,2.0,28.15877342224121,PZ7/test/PZ7_Major_2.pdb,PZ7_Major_2,-24.13603401184082
185,4.404749393463135,PZ7_Major_7,7,Major,7.0,28.5175724029541,PZ7/test/PZ7_Major_7.pdb,PZ7_Major_7,-24.112823009490967
185,4.241227149963379,PZ7_Chen_1,7,Chen,1.0,28.27638053894043,PZ7/test/PZ7_Chen_1.pdb,PZ7_Chen_1,-24.03515338897705
82,3.8485634326934814,PZ22_Bujnicki_4,22,Bujnicki,4.0,27.834022521972656,PZ22/test/PZ22_Bujnicki_4.pdb,PZ22_Bujnicki_4,-23.985459089279175
185,5.951046943664551,PZ7_Chen_3,7,Chen,3.0,29.745399475097656,PZ7/test/PZ7_Chen_3.pdb,PZ7_Chen_3,-23.794352531433105
69,5.111771583557129,PZ35_Dfold2_7,35,Dfold2,7.0,28.882858276367188,PZ35/test/PZ35_Dfold2_7.pdb,PZ35_Dfold2_7,-23.77108669281006
49,3.9258792400360107,PZ32_Nithin_4,32,Nithin,4.0,27.635059356689453,PZ32/test/PZ32_Nithin_4.pdb,PZ32_Nithin_4,-23.709180116653442
185,5.546452522277832,PZ7_Ding_1,7,Ding,1.0,29.247669219970703,PZ7/test/PZ7_Ding_1.pdb,PZ7_Ding_1,-23.70121669769287
49,3.153411388397217,PZ32_FARFAR2_7,32,FARFAR2,7.0,26.74748992919922,PZ32/test/PZ32_FARFAR2_7.pdb,PZ32_FARFAR2_7,-23.594078540802002
82,4.252299785614014,PZ22_SimRNA_2,22,SimRNA,2.0,27.83876037597656,PZ22/test/PZ22_SimRNA_2.pdb,PZ22_SimRNA_2,-23.586460590362545
185,5.550111770629883,PZ7_Chen_7,7,Chen,7.0,29.1024169921875,PZ7/test/PZ7_Chen_7.pdb,PZ7_Chen_7,-23.552305221557617
49,3.282763719558716,PZ32_ARES_1,32,ARES,1.0,26.75691604614257,PZ32/test/PZ32_ARES_1.pdb,PZ32_ARES_1,-23.474152326583855
49,3.282763719558716,PZ32_Das_6,32,Das,6.0,26.75691604614257,PZ32/test/PZ32_Das_6.pdb,PZ32_Das_6,-23.474152326583855
185,4.253107070922852,PZ7_Major_4,7,Major,4.0,27.61783027648925,PZ7/test/PZ7_Major_4.pdb,PZ7_Major_4,-23.3647232055664
185,5.679812431335449,PZ7_Adamiak_1,7,Adamiak,1.0,29.01678466796875,PZ7/test/PZ7_Adamiak_1.pdb,PZ7_Adamiak_1,-23.3369722366333
185,4.370241641998291,PZ7_Major_6,7,Major,6.0,27.680673599243164,PZ7/test/PZ7_Major_6.pdb,PZ7_Major_6,-23.310431957244873
82,3.923158884048462,PZ22_Bujnicki_3,22,Bujnicki,3.0,27.208627700805664,PZ22/test/PZ22_Bujnicki_3.pdb,PZ22_Bujnicki_3,-23.285468816757202
185,4.117300510406494,PZ7_Major_8,7,Major,8.0,27.389928817749023,PZ7/test/PZ7_Major_8.pdb,PZ7_Major_8,-23.27262830734253
185,5.552446365356445,PZ7_Adamiak_2,7,Adamiak,2.0,28.82417106628418,PZ7/test/PZ7_Adamiak_2.pdb,PZ7_Adamiak_2,-23.271724700927734
185,4.093478202819824,PZ7_Major_9,7,Major,9.0,27.349721908569336,PZ7/test/PZ7_Major_9.pdb,PZ7_Major_9,-23.25624370574951
49,2.332796573638916,PZ32_Chen_6,32,Chen,6.0,25.578067779541016,PZ32/test/PZ32_Chen_6.pdb,PZ32_Chen_6,-23.2452712059021
185,5.866596221923828,PZ7_Chen_6,7,Chen,6.0,29.06658172607422,PZ7/test/PZ7_Chen_6.pdb,PZ7_Chen_6,-23.19998550415039
49,3.1268210411071777,PZ32_FARFAR2_8,32,FARFAR2,8.0,26.115358352661133,PZ32/test/PZ32_FARFAR2_8.pdb,PZ32_FARFAR2_8,-22.988537311553955
82,4.2134690284729,PZ22_SimRNA_1,22,SimRNA,1.0,27.201160430908203,PZ22/test/PZ22_SimRNA_1.pdb,PZ22_SimRNA_1,-22.987691402435303
185,5.426721572875977,PZ7_Adamiak_5,7,Adamiak,5.0,28.401695251464844,PZ7/test/PZ7_Adamiak_5.pdb,PZ7_Adamiak_5,-22.974973678588867
69,1.926794171333313,PZ25_Xiao_2,25,Xiao,2.0,24.84368324279785,PZ25/test/PZ25_Xiao_2.pdb,PZ25_Xiao_2,-22.91688907146454
82,2.278480291366577,PZ22_Xiao_4,22,Xiao,4.0,24.915658950805664,PZ22/test/PZ22_Xiao_4.pdb,PZ22_Xiao_4,-22.637178659439087
49,2.135371685028076,PZ32_Chen_8,32,Chen,8.0,24.76808357238769,PZ32/test/PZ32_Chen_8.pdb,PZ32_Chen_8,-22.632711887359616
61,2.053863286972046,PZ37_Xiao_5,37,Xiao,5.0,24.57648086547852,PZ37/test/PZ37_Xiao_5.pdb,PZ37_Xiao_5,-22.522617578506473
185,4.562265396118164,PZ7_Bujnicki_7,7,Bujnicki,7.0,26.923189163208008,PZ7/test/PZ7_Bujnicki_7.pdb,PZ7_Bujnicki_7,-22.360923767089844
185,4.5461602210998535,PZ7_Major_3,7,Major,3.0,26.88528060913086,PZ7/test/PZ7_Major_3.pdb,PZ7_Major_3,-22.339120388031006
82,2.5670650005340576,PZ22_Xiao_3,22,Xiao,3.0,24.86372375488281,PZ22/test/PZ22_Xiao_3.pdb,PZ22_Xiao_3,-22.29665875434875
185,5.525289535522461,PZ7_Chen_4,7,Chen,4.0,27.741329193115234,PZ7/test/PZ7_Chen_4.pdb,PZ7_Chen_4,-22.216039657592773
185,4.708625793457031,PZ7_Ding_9,7,Ding,9.0,26.78078269958496,PZ7/test/PZ7_Ding_9.pdb,PZ7_Ding_9,-22.07215690612793
49,4.088331699371338,PZ32_RNAComposer_5,32,RNAComposer,5.0,26.131893157958984,PZ32/test/PZ32_RNAComposer_5.pdb,PZ32_RNAComposer_5,-22.043561458587646
185,4.942327499389648,PZ7_Das_8,7,Das,8.0,26.780893325805664,PZ7/test/PZ7_Das_8.pdb,PZ7_Das_8,-21.838565826416016
69,3.9939301013946533,PZ35_RNAComposer_2,35,RNAComposer,2.0,25.81484031677246,PZ35/test/PZ35_RNAComposer_2.pdb,PZ35_RNAComposer_2,-21.820910215377808
185,5.451021671295166,PZ7_Ding_8,7,Ding,8.0,27.232044219970703,PZ7/test/PZ7_Ding_8.pdb,PZ7_Ding_8,-21.781022548675537
49,4.9832682609558105,PZ32_Nithin_3,32,Nithin,3.0,26.73828315734864,PZ32/test/PZ32_Nithin_3.pdb,PZ32_Nithin_3,-21.75501489639283
185,4.411118507385254,PZ7_Bujnicki_6,7,Bujnicki,6.0,26.133026123046875,PZ7/test/PZ7_Bujnicki_6.pdb,PZ7_Bujnicki_6,-21.72190761566162
185,4.437129974365234,PZ7_Bujnicki_3,7,Bujnicki,3.0,26.128250122070312,PZ7/test/PZ7_Bujnicki_3.pdb,PZ7_Bujnicki_3,-21.691120147705078
82,4.548555374145508,PZ22_SimRNA_4,22,SimRNA,4.0,26.126840591430664,PZ22/test/PZ22_SimRNA_4.pdb,PZ22_SimRNA_4,-21.578285217285156
71,3.873176336288452,PZ9_Dokholyan_2,9,Dokholyan,2.0,25.44371795654297,PZ9/test/PZ9_Dokholyan_2.pdb,PZ9_Dokholyan_2,-21.570541620254517
49,3.114058494567871,PZ32_ARES_3,32,ARES,3.0,24.560590744018555,PZ32/test/PZ32_ARES_3.pdb,PZ32_ARES_3,-21.446532249450684
