length,error,name,PZ,Lab,Num,RMSD,file_path,Name,diff
185,13.912946701049805,PZ7_Bujnicki_2,7,Bujnicki,2.0,60.6064682006836,PZ7/test/PZ7_Bujnicki_2.pdb,PZ7_Bujnicki_2,-46.693521499633796
185,2.442051410675049,PZ7_Dokholyan_2,7,Dokholyan,2.0,36.9278678894043,PZ7/test/PZ7_Dokholyan_2.pdb,PZ7_Dokholyan_2,-34.48581647872925
185,9.463994026184082,PZ7_Bujnicki_1,7,Bujnicki,1.0,42.530757904052734,PZ7/test/PZ7_Bujnicki_1.pdb,PZ7_Bujnicki_1,-33.06676387786865
185,8.570215225219727,PZ7_Ding_10,7,Ding,10.0,36.53789520263672,PZ7/test/PZ7_Ding_10.pdb,PZ7_Ding_10,-27.967679977416992
185,6.849236488342285,PZ7_Chen_9,7,Chen,9.0,33.37859344482422,PZ7/test/PZ7_Chen_9.pdb,PZ7_Chen_9,-26.529356956481934
69,4.878310203552246,PZ35_Dfold2_2,35,Dfold2,2.0,31.39792823791504,PZ35/test/PZ35_Dfold2_2.pdb,PZ35_Dfold2_2,-26.519618034362793
185,7.945673942565918,PZ7_Chen_2,7,Chen,2.0,34.3694953918457,PZ7/test/PZ7_Chen_2.pdb,PZ7_Chen_2,-26.423821449279785
185,4.252716541290283,PZ7_Dokholyan_1,7,Dokholyan,1.0,30.195444107055664,PZ7/test/PZ7_Dokholyan_1.pdb,PZ7_Dokholyan_1,-25.94272756576538
49,2.342472791671753,PZ32_Dokholyan_2,32,Dokholyan,2.0,28.18501091003418,PZ32/test/PZ32_Dokholyan_2.pdb,PZ32_Dokholyan_2,-25.842538118362427
185,4.315207004547119,PZ7_Adamiak_4,7,Adamiak,4.0,30.00903511047364,PZ7/test/PZ7_Adamiak_4.pdb,PZ7_Adamiak_4,-25.69382810592652
185,3.5150372982025146,PZ7_Adamiak_2,7,Adamiak,2.0,28.82417106628418,PZ7/test/PZ7_Adamiak_2.pdb,PZ7_Adamiak_2,-25.309133768081665
82,3.6535236835479736,PZ22_Dokholyan_1,22,Dokholyan,1.0,28.94064712524414,PZ22/test/PZ22_Dokholyan_1.pdb,PZ22_Dokholyan_1,-25.287123441696167
185,5.539578914642334,PZ7_Adamiak_3,7,Adamiak,3.0,30.73983764648437,PZ7/test/PZ7_Adamiak_3.pdb,PZ7_Adamiak_3,-25.200258731842037
185,3.1101551055908203,PZ7_Chen_1,7,Chen,1.0,28.27638053894043,PZ7/test/PZ7_Chen_1.pdb,PZ7_Chen_1,-25.16622543334961
69,5.208152770996094,PZ35_Dfold2_3,35,Dfold2,3.0,30.18473052978516,PZ35/test/PZ35_Dfold2_3.pdb,PZ35_Dfold2_3,-24.976577758789066
185,2.0341646671295166,PZ7_Das_8,7,Das,8.0,26.780893325805664,PZ7/test/PZ7_Das_8.pdb,PZ7_Das_8,-24.746728658676147
96,6.827381134033203,PZ8_Dokholyan_4,8,Dokholyan,4.0,31.274169921875,PZ8/test/PZ8_Dokholyan_4.pdb,PZ8_Dokholyan_4,-24.446788787841797
82,5.714254379272461,PZ22_Dokholyan_2,22,Dokholyan,2.0,30.13847541809082,PZ22/test/PZ22_Dokholyan_2.pdb,PZ22_Dokholyan_2,-24.42422103881836
49,4.362798690795898,PZ32_Chen_7,32,Chen,7.0,28.711061477661133,PZ32/test/PZ32_Chen_7.pdb,PZ32_Chen_7,-24.348262786865234
185,4.7114410400390625,PZ7_Adamiak_1,7,Adamiak,1.0,29.01678466796875,PZ7/test/PZ7_Adamiak_1.pdb,PZ7_Adamiak_1,-24.305343627929688
82,2.9619996547698975,PZ22_Bujnicki_3,22,Bujnicki,3.0,27.208627700805664,PZ22/test/PZ22_Bujnicki_3.pdb,PZ22_Bujnicki_3,-24.246628046035767
185,4.559284210205078,PZ7_Major_2,7,Major,2.0,28.15877342224121,PZ7/test/PZ7_Major_2.pdb,PZ7_Major_2,-23.599489212036133
185,4.972499847412109,PZ7_Adamiak_5,7,Adamiak,5.0,28.401695251464844,PZ7/test/PZ7_Adamiak_5.pdb,PZ7_Adamiak_5,-23.429195404052734
185,8.561936378479004,PZ7_Ding_4,7,Ding,4.0,31.95319175720215,PZ7/test/PZ7_Ding_4.pdb,PZ7_Ding_4,-23.391255378723145
82,4.502065658569336,PZ22_SimRNA_2,22,SimRNA,2.0,27.83876037597656,PZ22/test/PZ22_SimRNA_2.pdb,PZ22_SimRNA_2,-23.336694717407223
69,1.5618276596069336,PZ25_Xiao_2,25,Xiao,2.0,24.84368324279785,PZ25/test/PZ25_Xiao_2.pdb,PZ25_Xiao_2,-23.281855583190918
49,4.181124687194824,PZ32_Bujnicki_5,32,Bujnicki,5.0,27.4315185546875,PZ32/test/PZ32_Bujnicki_5.pdb,PZ32_Bujnicki_5,-23.250393867492676
185,2.117910385131836,PZ7_Das_7,7,Das,7.0,25.266870498657227,PZ7/test/PZ7_Das_7.pdb,PZ7_Das_7,-23.14896011352539
82,1.9015073776245117,PZ22_Xiao_4,22,Xiao,4.0,24.915658950805664,PZ22/test/PZ22_Xiao_4.pdb,PZ22_Xiao_4,-23.014151573181152
82,1.9665751457214355,PZ22_Xiao_3,22,Xiao,3.0,24.86372375488281,PZ22/test/PZ22_Xiao_3.pdb,PZ22_Xiao_3,-22.897148609161373
185,9.871562957763672,PZ7_Ding_2,7,Ding,2.0,32.74875259399414,PZ7/test/PZ7_Ding_2.pdb,PZ7_Ding_2,-22.87718963623047
61,9.085131645202637,PZ37_Dfold_10,37,Dfold,10.0,31.95611953735352,PZ37/test/PZ37_Dfold_10.pdb,PZ37_Dfold_10,-22.870987892150882
82,5.039320468902588,PZ22_Bujnicki_4,22,Bujnicki,4.0,27.834022521972656,PZ22/test/PZ22_Bujnicki_4.pdb,PZ22_Bujnicki_4,-22.79470205307007
49,2.7991347312927246,PZ32_Chen_6,32,Chen,6.0,25.578067779541016,PZ32/test/PZ32_Chen_6.pdb,PZ32_Chen_6,-22.77893304824829
61,1.807075023651123,PZ37_Xiao_5,37,Xiao,5.0,24.57648086547852,PZ37/test/PZ37_Xiao_5.pdb,PZ37_Xiao_5,-22.769405841827396
96,2.3348186016082764,PZ8_Dokholyan_3,8,Dokholyan,3.0,24.717744827270508,PZ8/test/PZ8_Dokholyan_3.pdb,PZ8_Dokholyan_3,-22.38292622566223
185,2.1526997089385986,PZ7_Das_3,7,Das,3.0,24.529747009277344,PZ7/test/PZ7_Das_3.pdb,PZ7_Das_3,-22.377047300338745
71,2.382197618484497,PZ18_Lee_5,18,Lee,5.0,24.51205825805664,PZ18/test/PZ18_Lee_5.pdb,PZ18_Lee_5,-22.129860639572144
185,2.4558334350585938,PZ7_Das_5,7,Das,5.0,24.580930709838867,PZ7/test/PZ7_Das_5.pdb,PZ7_Das_5,-22.125097274780273
185,7.107993125915527,PZ7_Chen_7,7,Chen,7.0,29.1024169921875,PZ7/test/PZ7_Chen_7.pdb,PZ7_Chen_7,-21.994423866271973
185,7.97015380859375,PZ7_Chen_8,7,Chen,8.0,29.92921257019043,PZ7/test/PZ7_Chen_8.pdb,PZ7_Chen_8,-21.95905876159668
82,3.1508708000183105,PZ22_Dokholyan_3,22,Dokholyan,3.0,25.10780906677246,PZ22/test/PZ22_Dokholyan_3.pdb,PZ22_Dokholyan_3,-21.95693826675415
49,2.2770321369171143,PZ32_FARFAR2_1,32,FARFAR2,1.0,24.222272872924805,PZ32/test/PZ32_FARFAR2_1.pdb,PZ32_FARFAR2_1,-21.94524073600769
185,7.084174156188965,PZ7_Major_1,7,Major,1.0,28.99530601501465,PZ7/test/PZ7_Major_1.pdb,PZ7_Major_1,-21.911131858825684
185,3.487945556640625,PZ7_Das_4,7,Das,4.0,25.35853576660156,PZ7/test/PZ7_Das_4.pdb,PZ7_Das_4,-21.870590209960934
49,2.994838237762451,PZ32_Chen_8,32,Chen,8.0,24.76808357238769,PZ32/test/PZ32_Chen_8.pdb,PZ32_Chen_8,-21.77324533462524
185,9.840991020202637,PZ7_Major_10,7,Major,10.0,31.594783782958984,PZ7/test/PZ7_Major_10.pdb,PZ7_Major_10,-21.753792762756348
185,3.474069118499756,PZ7_Das_6,7,Das,6.0,25.15876197814941,PZ7/test/PZ7_Das_6.pdb,PZ7_Das_6,-21.684692859649655
185,5.242073059082031,PZ7_Bujnicki_7,7,Bujnicki,7.0,26.923189163208008,PZ7/test/PZ7_Bujnicki_7.pdb,PZ7_Bujnicki_7,-21.681116104125977
71,3.8267030715942383,PZ9_Dokholyan_2,9,Dokholyan,2.0,25.44371795654297,PZ9/test/PZ9_Dokholyan_2.pdb,PZ9_Dokholyan_2,-21.61701488494873
71,3.3682336807250977,PZ18_Ding_4,18,Ding,4.0,24.91148567199707,PZ18/test/PZ18_Ding_4.pdb,PZ18_Ding_4,-21.543251991271973
185,6.179354667663574,PZ7_Major_6,7,Major,6.0,27.680673599243164,PZ7/test/PZ7_Major_6.pdb,PZ7_Major_6,-21.50131893157959
71,2.636136531829834,PZ18_3dRNA_5,18,3dRNA,5.0,24.088041305541992,PZ18/test/PZ18_3dRNA_5.pdb,PZ18_3dRNA_5,-21.451904773712158
61,4.733121871948242,PZ37_Zhou_1,37,Zhou,1.0,26.08274269104004,PZ37/test/PZ37_Zhou_1.pdb,PZ37_Zhou_1,-21.349620819091797
185,10.484777450561523,PZ7_Ding_3,7,Ding,3.0,31.807558059692383,PZ7/test/PZ7_Ding_3.pdb,PZ7_Ding_3,-21.32278060913086
69,3.6144895553588867,PZ35_Dokholyan_2,35,Dokholyan,2.0,24.936473846435547,PZ35/test/PZ35_Dokholyan_2.pdb,PZ35_Dokholyan_2,-21.32198429107666
82,3.0886383056640625,PZ22_Bujnicki_5,22,Bujnicki,5.0,24.369672775268555,PZ22/test/PZ22_Bujnicki_5.pdb,PZ22_Bujnicki_5,-21.281034469604492
82,5.968954086303711,PZ22_SimRNA_1,22,SimRNA,1.0,27.201160430908203,PZ22/test/PZ22_SimRNA_1.pdb,PZ22_SimRNA_1,-21.232206344604492
185,10.309040069580078,PZ7_Chen_10,7,Chen,10.0,31.53738594055176,PZ7/test/PZ7_Chen_10.pdb,PZ7_Chen_10,-21.228345870971683
61,2.5650641918182373,PZ37_Dokholyan_5,37,Dokholyan,5.0,23.66375160217285,PZ37/test/PZ37_Dokholyan_5.pdb,PZ37_Dokholyan_5,-21.098687410354614
61,2.9159274101257324,PZ37_Dokholyan_4,37,Dokholyan,4.0,24.00628089904785,PZ37/test/PZ37_Dokholyan_4.pdb,PZ37_Dokholyan_4,-21.09035348892212
49,6.571789741516113,PZ32_Nithin_4,32,Nithin,4.0,27.635059356689453,PZ32/test/PZ32_Nithin_4.pdb,PZ32_Nithin_4,-21.06326961517334
185,3.8978676795959473,PZ7_Bujnicki_5,7,Bujnicki,5.0,24.875185012817383,PZ7/test/PZ7_Bujnicki_5.pdb,PZ7_Bujnicki_5,-20.977317333221436
185,3.925119638442993,PZ7_Bujnicki_4,7,Bujnicki,4.0,24.87569999694824,PZ7/test/PZ7_Bujnicki_4.pdb,PZ7_Bujnicki_4,-20.950580358505245
96,2.8608157634735107,PZ8_Dokholyan_1,8,Dokholyan,1.0,23.622671127319336,PZ8/test/PZ8_Dokholyan_1.pdb,PZ8_Dokholyan_1,-20.761855363845825
55,2.221041679382324,PZ38_Ding_5,38,Ding,5.0,22.917993545532227,PZ38/test/PZ38_Ding_5.pdb,PZ38_Ding_5,-20.696951866149902
185,9.290609359741211,PZ7_Ding_7,7,Ding,7.0,29.96412467956543,PZ7/test/PZ7_Ding_7.pdb,PZ7_Ding_7,-20.67351531982422
49,2.474118947982788,PZ32_Chen_9,32,Chen,9.0,23.1247615814209,PZ32/test/PZ32_Chen_9.pdb,PZ32_Chen_9,-20.65064263343811
49,4.057889461517334,PZ32_ARES_3,32,ARES,3.0,24.560590744018555,PZ32/test/PZ32_ARES_3.pdb,PZ32_ARES_3,-20.50270128250122
185,9.30589771270752,PZ7_Chen_3,7,Chen,3.0,29.745399475097656,PZ7/test/PZ7_Chen_3.pdb,PZ7_Chen_3,-20.439501762390137
185,9.041763305664062,PZ7_Ding_6,7,Ding,6.0,29.27437210083008,PZ7/test/PZ7_Ding_6.pdb,PZ7_Ding_6,-20.23260879516602
69,5.585167407989502,PZ35_RNAComposer_2,35,RNAComposer,2.0,25.81484031677246,PZ35/test/PZ35_RNAComposer_2.pdb,PZ35_RNAComposer_2,-20.22967290878296
61,2.044685125350952,PZ37_Xiao_4,37,Xiao,4.0,22.22431373596192,PZ37/test/PZ37_Xiao_4.pdb,PZ37_Xiao_4,-20.17962861061097
77,3.667693614959717,PZ28_SimRNA_4,28,SimRNA,4.0,23.759057998657227,PZ28/test/PZ28_SimRNA_4.pdb,PZ28_SimRNA_4,-20.09136438369751
49,3.232591152191162,PZ32_Bujnicki_3,32,Bujnicki,3.0,23.30666160583496,PZ32/test/PZ32_Bujnicki_3.pdb,PZ32_Bujnicki_3,-20.0740704536438
185,9.03897476196289,PZ7_Chen_6,7,Chen,6.0,29.06658172607422,PZ7/test/PZ7_Chen_6.pdb,PZ7_Chen_6,-20.027606964111328
71,2.744119882583618,PZ18_Lee_1,18,Lee,1.0,22.76442146301269,PZ18/test/PZ18_Lee_1.pdb,PZ18_Lee_1,-20.020301580429074
49,3.468370199203491,PZ32_ARES_4,32,ARES,4.0,23.4636344909668,PZ32/test/PZ32_ARES_4.pdb,PZ32_ARES_4,-19.99526429176331
49,3.4683704376220703,PZ32_Das_7,32,Das,7.0,23.4636344909668,PZ32/test/PZ32_Das_7.pdb,PZ32_Das_7,-19.99526405334473
71,3.214709520339966,PZ18_LeeAS_1,18,LeeAS,1.0,23.15029525756836,PZ18/test/PZ18_LeeAS_1.pdb,PZ18_LeeAS_1,-19.935585737228394
71,2.4426937103271484,PZ9_Dokholyan_3,9,Dokholyan,3.0,22.36138343811035,PZ9/test/PZ9_Dokholyan_3.pdb,PZ9_Dokholyan_3,-19.918689727783203
185,6.875882148742676,PZ7_Ding_9,7,Ding,9.0,26.78078269958496,PZ7/test/PZ7_Ding_9.pdb,PZ7_Ding_9,-19.904900550842285
49,6.341357231140137,PZ32_RNAComposer_5,32,RNAComposer,5.0,26.131893157958984,PZ32/test/PZ32_RNAComposer_5.pdb,PZ32_RNAComposer_5,-19.790535926818848
71,2.352370262145996,PZ18_Lee_4,18,Lee,4.0,22.125375747680664,PZ18/test/PZ18_Lee_4.pdb,PZ18_Lee_4,-19.773005485534668
82,5.792557716369629,PZ22_Dokholyan_4,22,Dokholyan,4.0,25.54618263244629,PZ22/test/PZ22_Dokholyan_4.pdb,PZ22_Dokholyan_4,-19.75362491607666
71,3.734222412109375,PZ18_LeeAS_2,18,LeeAS,2.0,23.46721839904785,PZ18/test/PZ18_LeeAS_2.pdb,PZ18_LeeAS_2,-19.732995986938477
69,4.64680290222168,PZ35_Dfold2_4,35,Dfold2,4.0,24.32474136352539,PZ35/test/PZ35_Dfold2_4.pdb,PZ35_Dfold2_4,-19.67793846130371
185,6.452363014221191,PZ7_Bujnicki_3,7,Bujnicki,3.0,26.128250122070312,PZ7/test/PZ7_Bujnicki_3.pdb,PZ7_Bujnicki_3,-19.67588710784912
185,10.092909812927246,PZ7_Ding_5,7,Ding,5.0,29.76373863220215,PZ7/test/PZ7_Ding_5.pdb,PZ7_Ding_5,-19.670828819274902
49,7.0936126708984375,PZ32_Nithin_3,32,Nithin,3.0,26.73828315734864,PZ32/test/PZ32_Nithin_3.pdb,PZ32_Nithin_3,-19.644670486450202
61,1.7363990545272827,PZ37_Ding_1,37,Ding,1.0,21.374122619628903,PZ37/test/PZ37_Ding_1.pdb,PZ37_Ding_1,-19.63772356510162
49,4.296700477600098,PZ32_SimRNA_4,32,SimRNA,4.0,23.892807006835938,PZ32/test/PZ32_SimRNA_4.pdb,PZ32_SimRNA_4,-19.59610652923584
185,9.798199653625488,PZ7_Ding_1,7,Ding,1.0,29.247669219970703,PZ7/test/PZ7_Ding_1.pdb,PZ7_Ding_1,-19.449469566345215
49,7.456233024597168,PZ32_FARFAR2_7,32,FARFAR2,7.0,26.74748992919922,PZ32/test/PZ32_FARFAR2_7.pdb,PZ32_FARFAR2_7,-19.29125690460205
61,5.395009517669678,PZ37_SimRNA_5,37,SimRNA,5.0,24.67447280883789,PZ37/test/PZ37_SimRNA_5.pdb,PZ37_SimRNA_5,-19.279463291168213
82,6.869074821472168,PZ22_SimRNA_4,22,SimRNA,4.0,26.126840591430664,PZ22/test/PZ22_SimRNA_4.pdb,PZ22_SimRNA_4,-19.257765769958496
40,1.3590242862701416,PZ19_LeeServer_3,19,LeeServer,3.0,20.462501525878903,PZ19/test/PZ19_LeeServer_3.pdb,PZ19_LeeServer_3,-19.10347723960876
49,7.015970230102539,PZ32_FARFAR2_8,32,FARFAR2,8.0,26.115358352661133,PZ32/test/PZ32_FARFAR2_8.pdb,PZ32_FARFAR2_8,-19.099388122558594
185,7.039072036743164,PZ7_Bujnicki_6,7,Bujnicki,6.0,26.133026123046875,PZ7/test/PZ7_Bujnicki_6.pdb,PZ7_Bujnicki_6,-19.09395408630371
185,8.671356201171875,PZ7_Chen_4,7,Chen,4.0,27.741329193115234,PZ7/test/PZ7_Chen_4.pdb,PZ7_Chen_4,-19.06997299194336
61,6.479313850402832,PZ37_Dfold_5,37,Dfold,5.0,25.445606231689453,PZ37/test/PZ37_Dfold_5.pdb,PZ37_Dfold_5,-18.96629238128662
49,1.966729760169983,PZ32_FARFAR2_5,32,FARFAR2,5.0,20.59682846069336,PZ32/test/PZ32_FARFAR2_5.pdb,PZ32_FARFAR2_5,-18.630098700523376
49,1.9667298793792725,PZ32_Das_2,32,Das,2.0,20.59682846069336,PZ32/test/PZ32_Das_2.pdb,PZ32_Das_2,-18.630098581314087
71,2.8202407360076904,PZ18_Lee_3,18,Lee,3.0,21.40423393249512,PZ18/test/PZ18_Lee_3.pdb,PZ18_Lee_3,-18.58399319648743
