length,error,name,PZ,Lab,Num,RMSD,file_path,Name,diff
185,11.131736755371094,PZ7_Bujnicki_2,7,Bujnicki,2.0,60.6064682006836,PZ7/test/PZ7_Bujnicki_2.pdb,PZ7_Bujnicki_2,-49.47473144531251
185,7.437130451202393,PZ7_Dokholyan_2,7,Dokholyan,2.0,36.9278678894043,PZ7/test/PZ7_Dokholyan_2.pdb,PZ7_Dokholyan_2,-29.490737438201904
185,13.081600189208984,PZ7_Bujnicki_1,7,Bujnicki,1.0,42.530757904052734,PZ7/test/PZ7_Bujnicki_1.pdb,PZ7_Bujnicki_1,-29.44915771484375
185,7.982838153839111,PZ7_Ding_10,7,Ding,10.0,36.53789520263672,PZ7/test/PZ7_Ding_10.pdb,PZ7_Ding_10,-28.555057048797607
82,2.4812207221984863,PZ22_Dokholyan_2,22,Dokholyan,2.0,30.13847541809082,PZ22/test/PZ22_Dokholyan_2.pdb,PZ22_Dokholyan_2,-27.657254695892334
185,5.738940238952637,PZ7_Chen_9,7,Chen,9.0,33.37859344482422,PZ7/test/PZ7_Chen_9.pdb,PZ7_Chen_9,-27.639653205871582
185,3.3486618995666504,PZ7_Adamiak_3,7,Adamiak,3.0,30.73983764648437,PZ7/test/PZ7_Adamiak_3.pdb,PZ7_Adamiak_3,-27.39117574691772
69,4.588959217071533,PZ35_Dfold2_2,35,Dfold2,2.0,31.39792823791504,PZ35/test/PZ35_Dfold2_2.pdb,PZ35_Dfold2_2,-26.808969020843506
49,1.9926633834838867,PZ32_Chen_7,32,Chen,7.0,28.711061477661133,PZ32/test/PZ32_Chen_7.pdb,PZ32_Chen_7,-26.718398094177246
185,3.6895394325256348,PZ7_Adamiak_4,7,Adamiak,4.0,30.00903511047364,PZ7/test/PZ7_Adamiak_4.pdb,PZ7_Adamiak_4,-26.319495677948005
82,2.718031406402588,PZ22_Dokholyan_1,22,Dokholyan,1.0,28.94064712524414,PZ22/test/PZ22_Dokholyan_1.pdb,PZ22_Dokholyan_1,-26.222615718841553
185,8.232805252075195,PZ7_Chen_2,7,Chen,2.0,34.3694953918457,PZ7/test/PZ7_Chen_2.pdb,PZ7_Chen_2,-26.136690139770508
185,5.734674453735352,PZ7_Major_10,7,Major,10.0,31.594783782958984,PZ7/test/PZ7_Major_10.pdb,PZ7_Major_10,-25.860109329223633
49,1.5961335897445679,PZ32_Bujnicki_5,32,Bujnicki,5.0,27.4315185546875,PZ32/test/PZ32_Bujnicki_5.pdb,PZ32_Bujnicki_5,-25.835384964942932
185,3.2304983139038086,PZ7_Adamiak_2,7,Adamiak,2.0,28.82417106628418,PZ7/test/PZ7_Adamiak_2.pdb,PZ7_Adamiak_2,-25.59367275238037
49,2.4125683307647705,PZ32_Nithin_4,32,Nithin,4.0,27.635059356689453,PZ32/test/PZ32_Nithin_4.pdb,PZ32_Nithin_4,-25.222491025924683
185,4.159367084503174,PZ7_Adamiak_1,7,Adamiak,1.0,29.01678466796875,PZ7/test/PZ7_Adamiak_1.pdb,PZ7_Adamiak_1,-24.857417583465576
185,3.7216129302978516,PZ7_Adamiak_5,7,Adamiak,5.0,28.401695251464844,PZ7/test/PZ7_Adamiak_5.pdb,PZ7_Adamiak_5,-24.680082321166992
82,3.191887140274048,PZ22_Bujnicki_4,22,Bujnicki,4.0,27.834022521972656,PZ22/test/PZ22_Bujnicki_4.pdb,PZ22_Bujnicki_4,-24.64213538169861
49,3.684119939804077,PZ32_Dokholyan_2,32,Dokholyan,2.0,28.18501091003418,PZ32/test/PZ32_Dokholyan_2.pdb,PZ32_Dokholyan_2,-24.500890970230103
82,2.849403142929077,PZ22_Bujnicki_3,22,Bujnicki,3.0,27.208627700805664,PZ22/test/PZ22_Bujnicki_3.pdb,PZ22_Bujnicki_3,-24.359224557876587
185,8.424503326416016,PZ7_Ding_2,7,Ding,2.0,32.74875259399414,PZ7/test/PZ7_Ding_2.pdb,PZ7_Ding_2,-24.324249267578125
69,5.916703224182129,PZ35_Dfold2_3,35,Dfold2,3.0,30.18473052978516,PZ35/test/PZ35_Dfold2_3.pdb,PZ35_Dfold2_3,-24.26802730560303
49,1.563684344291687,PZ32_Chen_6,32,Chen,6.0,25.578067779541016,PZ32/test/PZ32_Chen_6.pdb,PZ32_Chen_6,-24.01438343524933
185,7.863759994506836,PZ7_Ding_3,7,Ding,3.0,31.807558059692383,PZ7/test/PZ7_Ding_3.pdb,PZ7_Ding_3,-23.943798065185547
185,8.074536323547363,PZ7_Ding_4,7,Ding,4.0,31.95319175720215,PZ7/test/PZ7_Ding_4.pdb,PZ7_Ding_4,-23.878655433654785
82,4.122400283813477,PZ22_SimRNA_2,22,SimRNA,2.0,27.83876037597656,PZ22/test/PZ22_SimRNA_2.pdb,PZ22_SimRNA_2,-23.716360092163082
61,8.35016918182373,PZ37_Dfold_10,37,Dfold,10.0,31.95611953735352,PZ37/test/PZ37_Dfold_10.pdb,PZ37_Dfold_10,-23.60595035552979
185,6.730950355529785,PZ7_Dokholyan_1,7,Dokholyan,1.0,30.195444107055664,PZ7/test/PZ7_Dokholyan_1.pdb,PZ7_Dokholyan_1,-23.46449375152588
185,3.4667069911956787,PZ7_Bujnicki_7,7,Bujnicki,7.0,26.923189163208008,PZ7/test/PZ7_Bujnicki_7.pdb,PZ7_Bujnicki_7,-23.45648217201233
82,1.4982373714447021,PZ22_Xiao_4,22,Xiao,4.0,24.915658950805664,PZ22/test/PZ22_Xiao_4.pdb,PZ22_Xiao_4,-23.417421579360962
185,3.363569498062134,PZ7_Das_8,7,Das,8.0,26.780893325805664,PZ7/test/PZ7_Das_8.pdb,PZ7_Das_8,-23.41732382774353
185,4.990372657775879,PZ7_Chen_1,7,Chen,1.0,28.27638053894043,PZ7/test/PZ7_Chen_1.pdb,PZ7_Chen_1,-23.28600788116455
69,1.6480644941329956,PZ25_Xiao_2,25,Xiao,2.0,24.84368324279785,PZ25/test/PZ25_Xiao_2.pdb,PZ25_Xiao_2,-23.195618748664856
71,1.399978756904602,PZ18_Lee_5,18,Lee,5.0,24.51205825805664,PZ18/test/PZ18_Lee_5.pdb,PZ18_Lee_5,-23.11207950115204
61,1.6734980344772339,PZ37_Xiao_5,37,Xiao,5.0,24.57648086547852,PZ37/test/PZ37_Xiao_5.pdb,PZ37_Xiao_5,-22.902982831001285
82,2.9744889736175537,PZ22_Dokholyan_4,22,Dokholyan,4.0,25.54618263244629,PZ22/test/PZ22_Dokholyan_4.pdb,PZ22_Dokholyan_4,-22.571693658828735
82,2.3190972805023193,PZ22_Xiao_3,22,Xiao,3.0,24.86372375488281,PZ22/test/PZ22_Xiao_3.pdb,PZ22_Xiao_3,-22.54462647438049
185,6.237912178039551,PZ7_Major_5,7,Major,5.0,28.51221466064453,PZ7/test/PZ7_Major_5.pdb,PZ7_Major_5,-22.27430248260498
49,1.233047604560852,PZ32_ARES_4,32,ARES,4.0,23.4636344909668,PZ32/test/PZ32_ARES_4.pdb,PZ32_ARES_4,-22.23058688640595
49,1.2330480813980103,PZ32_Das_7,32,Das,7.0,23.4636344909668,PZ32/test/PZ32_Das_7.pdb,PZ32_Das_7,-22.23058640956879
185,3.056840181350708,PZ7_Das_7,7,Das,7.0,25.266870498657227,PZ7/test/PZ7_Das_7.pdb,PZ7_Das_7,-22.21003031730652
82,2.9115869998931885,PZ22_Dokholyan_3,22,Dokholyan,3.0,25.10780906677246,PZ22/test/PZ22_Dokholyan_3.pdb,PZ22_Dokholyan_3,-22.196222066879272
185,6.325761795043945,PZ7_Major_7,7,Major,7.0,28.5175724029541,PZ7/test/PZ7_Major_7.pdb,PZ7_Major_7,-22.191810607910156
49,2.4157521724700928,PZ32_ARES_3,32,ARES,3.0,24.560590744018555,PZ32/test/PZ32_ARES_3.pdb,PZ32_ARES_3,-22.144838571548462
185,3.334156036376953,PZ7_Das_4,7,Das,4.0,25.35853576660156,PZ7/test/PZ7_Das_4.pdb,PZ7_Das_4,-22.024379730224606
185,6.1982035636901855,PZ7_Major_2,7,Major,2.0,28.15877342224121,PZ7/test/PZ7_Major_2.pdb,PZ7_Major_2,-21.960569858551025
82,5.275661468505859,PZ22_SimRNA_1,22,SimRNA,1.0,27.201160430908203,PZ22/test/PZ22_SimRNA_1.pdb,PZ22_SimRNA_1,-21.925498962402344
185,4.240417003631592,PZ7_Bujnicki_6,7,Bujnicki,6.0,26.133026123046875,PZ7/test/PZ7_Bujnicki_6.pdb,PZ7_Bujnicki_6,-21.892609119415283
49,1.2334789037704468,PZ32_Chen_9,32,Chen,9.0,23.1247615814209,PZ32/test/PZ32_Chen_9.pdb,PZ32_Chen_9,-21.89128267765045
185,3.279578924179077,PZ7_Das_6,7,Das,6.0,25.15876197814941,PZ7/test/PZ7_Das_6.pdb,PZ7_Das_6,-21.879183053970333
185,4.251404285430908,PZ7_Bujnicki_3,7,Bujnicki,3.0,26.128250122070312,PZ7/test/PZ7_Bujnicki_3.pdb,PZ7_Bujnicki_3,-21.876845836639404
185,2.9101924896240234,PZ7_Das_5,7,Das,5.0,24.580930709838867,PZ7/test/PZ7_Das_5.pdb,PZ7_Das_5,-21.670738220214844
71,2.551873207092285,PZ18_3dRNA_5,18,3dRNA,5.0,24.088041305541992,PZ18/test/PZ18_3dRNA_5.pdb,PZ18_3dRNA_5,-21.536168098449707
185,7.488962173461914,PZ7_Major_1,7,Major,1.0,28.99530601501465,PZ7/test/PZ7_Major_1.pdb,PZ7_Major_1,-21.506343841552734
185,3.0689337253570557,PZ7_Das_3,7,Das,3.0,24.529747009277344,PZ7/test/PZ7_Das_3.pdb,PZ7_Das_3,-21.460813283920288
185,3.435502767562866,PZ7_Bujnicki_4,7,Bujnicki,4.0,24.87569999694824,PZ7/test/PZ7_Bujnicki_4.pdb,PZ7_Bujnicki_4,-21.440197229385372
71,1.3559226989746094,PZ18_Lee_1,18,Lee,1.0,22.76442146301269,PZ18/test/PZ18_Lee_1.pdb,PZ18_Lee_1,-21.408498764038082
185,3.4945220947265625,PZ7_Bujnicki_5,7,Bujnicki,5.0,24.875185012817383,PZ7/test/PZ7_Bujnicki_5.pdb,PZ7_Bujnicki_5,-21.38066291809082
49,5.419140815734863,PZ32_Nithin_3,32,Nithin,3.0,26.73828315734864,PZ32/test/PZ32_Nithin_3.pdb,PZ32_Nithin_3,-21.319142341613777
82,3.0800511837005615,PZ22_Bujnicki_5,22,Bujnicki,5.0,24.369672775268555,PZ22/test/PZ22_Bujnicki_5.pdb,PZ22_Bujnicki_5,-21.289621591567993
49,3.497363328933716,PZ32_Chen_8,32,Chen,8.0,24.76808357238769,PZ32/test/PZ32_Chen_8.pdb,PZ32_Chen_8,-21.270720243453976
49,2.054654121398926,PZ32_Bujnicki_3,32,Bujnicki,3.0,23.30666160583496,PZ32/test/PZ32_Bujnicki_3.pdb,PZ32_Bujnicki_3,-21.252007484436035
185,10.402547836303711,PZ7_Chen_10,7,Chen,10.0,31.53738594055176,PZ7/test/PZ7_Chen_10.pdb,PZ7_Chen_10,-21.13483810424805
185,6.31396484375,PZ7_Major_8,7,Major,8.0,27.389928817749023,PZ7/test/PZ7_Major_8.pdb,PZ7_Major_8,-21.075963973999023
71,2.1421167850494385,PZ18_LeeAS_1,18,LeeAS,1.0,23.15029525756836,PZ18/test/PZ18_LeeAS_1.pdb,PZ18_LeeAS_1,-21.00817847251892
185,5.953859806060791,PZ7_Major_3,7,Major,3.0,26.88528060913086,PZ7/test/PZ7_Major_3.pdb,PZ7_Major_3,-20.93142080307007
96,2.7575740814208984,PZ8_Dokholyan_1,8,Dokholyan,1.0,23.622671127319336,PZ8/test/PZ8_Dokholyan_1.pdb,PZ8_Dokholyan_1,-20.865097045898438
185,6.922216892242432,PZ7_Major_6,7,Major,6.0,27.680673599243164,PZ7/test/PZ7_Major_6.pdb,PZ7_Major_6,-20.758456707000732
61,2.9992311000823975,PZ37_Dokholyan_5,37,Dokholyan,5.0,23.66375160217285,PZ37/test/PZ37_Dokholyan_5.pdb,PZ37_Dokholyan_5,-20.664520502090454
69,5.254657745361328,PZ35_RNAComposer_2,35,RNAComposer,2.0,25.81484031677246,PZ35/test/PZ35_RNAComposer_2.pdb,PZ35_RNAComposer_2,-20.560182571411133
71,1.6436864137649536,PZ18_Lee_4,18,Lee,4.0,22.125375747680664,PZ18/test/PZ18_Lee_4.pdb,PZ18_Lee_4,-20.48168933391571
185,8.625748634338379,PZ7_Chen_7,7,Chen,7.0,29.1024169921875,PZ7/test/PZ7_Chen_7.pdb,PZ7_Chen_7,-20.47666835784912
61,4.98518705368042,PZ37_Dfold_5,37,Dfold,5.0,25.445606231689453,PZ37/test/PZ37_Dfold_5.pdb,PZ37_Dfold_5,-20.460419178009033
71,3.0263423919677734,PZ18_LeeAS_2,18,LeeAS,2.0,23.46721839904785,PZ18/test/PZ18_LeeAS_2.pdb,PZ18_LeeAS_2,-20.440876007080078
185,3.1776444911956787,PZ7_Das_2,7,Das,2.0,23.555593490600582,PZ7/test/PZ7_Das_2.pdb,PZ7_Das_2,-20.377948999404904
71,4.582766532897949,PZ18_Ding_4,18,Ding,4.0,24.91148567199707,PZ18/test/PZ18_Ding_4.pdb,PZ18_Ding_4,-20.32871913909912
82,5.816152572631836,PZ22_SimRNA_4,22,SimRNA,4.0,26.126840591430664,PZ22/test/PZ22_SimRNA_4.pdb,PZ22_SimRNA_4,-20.310688018798828
71,2.0616536140441895,PZ9_Dokholyan_3,9,Dokholyan,3.0,22.36138343811035,PZ9/test/PZ9_Dokholyan_3.pdb,PZ9_Dokholyan_3,-20.299729824066162
185,9.673798561096191,PZ7_Ding_7,7,Ding,7.0,29.96412467956543,PZ7/test/PZ7_Ding_7.pdb,PZ7_Ding_7,-20.29032611846924
185,9.675250053405762,PZ7_Chen_8,7,Chen,8.0,29.92921257019043,PZ7/test/PZ7_Chen_8.pdb,PZ7_Chen_8,-20.253962516784668
185,8.994418144226074,PZ7_Ding_1,7,Ding,1.0,29.247669219970703,PZ7/test/PZ7_Ding_1.pdb,PZ7_Ding_1,-20.25325107574463
185,7.136143684387207,PZ7_Major_9,7,Major,9.0,27.349721908569336,PZ7/test/PZ7_Major_9.pdb,PZ7_Major_9,-20.21357822418213
49,4.096570014953613,PZ32_FARFAR2_1,32,FARFAR2,1.0,24.222272872924805,PZ32/test/PZ32_FARFAR2_1.pdb,PZ32_FARFAR2_1,-20.12570285797119
61,2.115694761276245,PZ37_Xiao_4,37,Xiao,4.0,22.22431373596192,PZ37/test/PZ37_Xiao_4.pdb,PZ37_Xiao_4,-20.108618974685676
61,4.620731353759766,PZ37_SimRNA_5,37,SimRNA,5.0,24.67447280883789,PZ37/test/PZ37_SimRNA_5.pdb,PZ37_SimRNA_5,-20.053741455078125
185,9.279548645019531,PZ7_Ding_6,7,Ding,6.0,29.27437210083008,PZ7/test/PZ7_Ding_6.pdb,PZ7_Ding_6,-19.99482345581055
185,7.727866172790527,PZ7_Major_4,7,Major,4.0,27.61783027648925,PZ7/test/PZ7_Major_4.pdb,PZ7_Major_4,-19.889964103698723
55,3.1008059978485107,PZ38_Ding_5,38,Ding,5.0,22.917993545532227,PZ38/test/PZ38_Ding_5.pdb,PZ38_Ding_5,-19.817187547683716
185,9.948328018188477,PZ7_Ding_5,7,Ding,5.0,29.76373863220215,PZ7/test/PZ7_Ding_5.pdb,PZ7_Ding_5,-19.815410614013672
69,4.648100852966309,PZ35_Dfold2_4,35,Dfold2,4.0,24.32474136352539,PZ35/test/PZ35_Dfold2_4.pdb,PZ35_Dfold2_4,-19.676640510559082
61,6.410251617431641,PZ37_Zhou_1,37,Zhou,1.0,26.08274269104004,PZ37/test/PZ37_Zhou_1.pdb,PZ37_Zhou_1,-19.6724910736084
71,5.02857780456543,PZ18_SimRNA_3,18,SimRNA,3.0,24.61672592163086,PZ18/test/PZ18_SimRNA_3.pdb,PZ18_SimRNA_3,-19.58814811706543
185,9.51665210723877,PZ7_Chen_6,7,Chen,6.0,29.06658172607422,PZ7/test/PZ7_Chen_6.pdb,PZ7_Chen_6,-19.54992961883545
185,10.20306396484375,PZ7_Chen_3,7,Chen,3.0,29.745399475097656,PZ7/test/PZ7_Chen_3.pdb,PZ7_Chen_3,-19.542335510253906
77,4.324578762054443,PZ28_SimRNA_4,28,SimRNA,4.0,23.759057998657227,PZ28/test/PZ28_SimRNA_4.pdb,PZ28_SimRNA_4,-19.434479236602783
49,3.445103406906128,PZ32_FARFAR2_10,32,FARFAR2,10.0,22.8386459350586,PZ32/test/PZ32_FARFAR2_10.pdb,PZ32_FARFAR2_10,-19.393542528152473
49,1.8823124170303345,PZ32_RNAComposer_2,32,RNAComposer,2.0,21.218650817871094,PZ32/test/PZ32_RNAComposer_2.pdb,PZ32_RNAComposer_2,-19.33633840084076
61,3.7759110927581787,PZ37_Yang_10,37,Yang,10.0,23.10573387145996,PZ37/test/PZ37_Yang_10.pdb,PZ37_Yang_10,-19.329822778701782
69,1.6240569353103638,PZ35_Dfold2_1,35,Dfold2,1.0,20.94290542602539,PZ35/test/PZ35_Dfold2_1.pdb,PZ35_Dfold2_1,-19.318848490715027
49,2.617811441421509,PZ32_Chen_10,32,Chen,10.0,21.88652610778809,PZ32/test/PZ32_Chen_10.pdb,PZ32_Chen_10,-19.26871466636658
71,2.1888465881347656,PZ18_Lee_3,18,Lee,3.0,21.40423393249512,PZ18/test/PZ18_Lee_3.pdb,PZ18_Lee_3,-19.215387344360355
71,1.9275158643722534,PZ18_Lee_2,18,Lee,2.0,21.126802444458008,PZ18/test/PZ18_Lee_2.pdb,PZ18_Lee_2,-19.199286580085754
82,5.205677032470703,PZ22_SimRNA_3,22,SimRNA,3.0,24.36389923095703,PZ22/test/PZ22_SimRNA_3.pdb,PZ22_SimRNA_3,-19.158222198486328
69,3.1596338748931885,PZ36_Nithin_5,36,Nithin,5.0,22.28919792175293,PZ36/test/PZ36_Nithin_5.pdb,PZ36_Nithin_5,-19.12956404685974
49,7.668903350830078,PZ32_ARES_1,32,ARES,1.0,26.75691604614257,PZ32/test/PZ32_ARES_1.pdb,PZ32_ARES_1,-19.088012695312493
49,7.668903350830078,PZ32_Das_6,32,Das,6.0,26.75691604614257,PZ32/test/PZ32_Das_6.pdb,PZ32_Das_6,-19.088012695312493
61,4.714323997497559,PZ37_Dfold_1,37,Dfold,1.0,23.78108596801757,PZ37/test/PZ37_Dfold_1.pdb,PZ37_Dfold_1,-19.066761970520012
71,2.0799148082733154,PZ18_Ding_2,18,Ding,2.0,21.104536056518555,PZ18/test/PZ18_Ding_2.pdb,PZ18_Ding_2,-19.02462124824524
185,8.7355318069458,PZ7_Chen_4,7,Chen,4.0,27.741329193115234,PZ7/test/PZ7_Chen_4.pdb,PZ7_Chen_4,-19.005797386169434
49,7.361593246459961,PZ32_FARFAR2_8,32,FARFAR2,8.0,26.115358352661133,PZ32/test/PZ32_FARFAR2_8.pdb,PZ32_FARFAR2_8,-18.753765106201172
41,2.816438913345337,PZ21_Bujnicki_5,21,Bujnicki,5.0,21.517885208129883,PZ21/test/PZ21_Bujnicki_5.pdb,PZ21_Bujnicki_5,-18.701446294784546
61,2.7964189052581787,PZ37_Ding_1,37,Ding,1.0,21.374122619628903,PZ37/test/PZ37_Ding_1.pdb,PZ37_Ding_1,-18.577703714370724
71,4.544724464416504,PZ18_SimRNA_1,18,SimRNA,1.0,23.11749649047852,PZ18/test/PZ18_SimRNA_1.pdb,PZ18_SimRNA_1,-18.572772026062015
55,1.0853465795516968,PZ38_Xiao_2,38,Xiao,2.0,19.612308502197266,PZ38/test/PZ38_Xiao_2.pdb,PZ38_Xiao_2,-18.52696192264557
49,3.3668630123138428,PZ32_ARES_2,32,ARES,2.0,21.716381072998047,PZ32/test/PZ32_ARES_2.pdb,PZ32_ARES_2,-18.349518060684204
82,3.1068942546844482,PZ22_Bujnicki_1,22,Bujnicki,1.0,21.36526870727539,PZ22/test/PZ22_Bujnicki_1.pdb,PZ22_Bujnicki_1,-18.258374452590942
49,1.040107250213623,PZ32_Bujnicki_1,32,Bujnicki,1.0,19.29642677307129,PZ32/test/PZ32_Bujnicki_1.pdb,PZ32_Bujnicki_1,-18.256319522857666
82,2.8172080516815186,PZ22_Dokholyan_5,22,Dokholyan,5.0,21.0567684173584,PZ22/test/PZ22_Dokholyan_5.pdb,PZ22_Dokholyan_5,-18.23956036567688
82,6.0270280838012695,PZ22_SimRNA_5,22,SimRNA,5.0,24.241117477416992,PZ22/test/PZ22_SimRNA_5.pdb,PZ22_SimRNA_5,-18.214089393615723
49,2.4250097274780273,PZ32_FARFAR2_6,32,FARFAR2,6.0,20.612045288085938,PZ32/test/PZ32_FARFAR2_6.pdb,PZ32_FARFAR2_6,-18.18703556060791
49,2.4250099658966064,PZ32_Das_3,32,Das,3.0,20.612045288085938,PZ32/test/PZ32_Das_3.pdb,PZ32_Das_3,-18.18703532218933
71,3.221799612045288,PZ18_LeeAS_3,18,LeeAS,3.0,21.40648460388184,PZ18/test/PZ18_LeeAS_3.pdb,PZ18_LeeAS_3,-18.18468499183655
48,6.17044734954834,PZ15_3dRNAAS2_3,15,3dRNAAS2,3.0,24.321033477783203,PZ15/test/PZ15_3dRNAAS2_3.pdb,PZ15_3dRNAAS2_3,-18.150586128234863
48,6.226861953735352,PZ15_3dRNAAS2_1,15,3dRNAAS2,1.0,24.32772827148437,PZ15/test/PZ15_3dRNAAS2_1.pdb,PZ15_3dRNAAS2_1,-18.10086631774902
185,8.754175186157227,PZ7_Ding_9,7,Ding,9.0,26.78078269958496,PZ7/test/PZ7_Ding_9.pdb,PZ7_Ding_9,-18.026607513427734
49,2.5856595039367676,PZ32_Das_2,32,Das,2.0,20.59682846069336,PZ32/test/PZ32_Das_2.pdb,PZ32_Das_2,-18.011168956756592
49,2.5856595039367676,PZ32_FARFAR2_5,32,FARFAR2,5.0,20.59682846069336,PZ32/test/PZ32_FARFAR2_5.pdb,PZ32_FARFAR2_5,-18.011168956756592
49,1.62514066696167,PZ32_RNAComposer_1,32,RNAComposer,1.0,19.44160270690918,PZ32/test/PZ32_RNAComposer_1.pdb,PZ32_RNAComposer_1,-17.81646203994751
48,6.528532981872559,PZ15_3dRNAAS2_2,15,3dRNAAS2,2.0,24.317182540893555,PZ15/test/PZ15_3dRNAAS2_2.pdb,PZ15_3dRNAAS2_2,-17.788649559020996
61,1.2851524353027344,PZ37_Xiao_3,37,Xiao,3.0,19.03548812866211,PZ37/test/PZ37_Xiao_3.pdb,PZ37_Xiao_3,-17.750335693359375
69,11.231664657592773,PZ35_Dfold2_7,35,Dfold2,7.0,28.882858276367188,PZ35/test/PZ35_Dfold2_7.pdb,PZ35_Dfold2_7,-17.651193618774414
71,2.648829698562622,PZ18_Ding_1,18,Ding,1.0,20.270471572875977,PZ18/test/PZ18_Ding_1.pdb,PZ18_Ding_1,-17.621641874313354
61,4.3251566886901855,PZ37_Dfold_2,37,Dfold,2.0,21.88845443725586,PZ37/test/PZ37_Dfold_2.pdb,PZ37_Dfold_2,-17.563297748565674
